bestobjid,mjd,z,oiii_4959_flux,oiii_5007_flux,h_beta_flux,nii_6548_flux,nii_6584_flux,h_alpha_flux
1.23765E+18,51883,0.07134143,8.045072,8.40831,9.530524,10.91959,32.93599,30.61278
0,51883,0.06254619,0.6046304,6.589575,27.72972,8.45106,25.49035,96.06971
1.23765E+18,51941,0.03494354,2.700183,9.18253,51.37148,42.41754,127.9411,325.5707
1.23765E+18,51941,0.07839845,11.3814,30.02676,46.90298,14.98156,45.18785,146.0887
1.23765E+18,51941,0.1129227,2.981528,4.420299,1.350112,3.01042,9.080123,12.43386
1.23765E+18,51941,0.09520418,6.334632,21.11998,49.94865,33.16204,100.0244,199.5996
1.23765E+18,51941,0.09659231,1.719621,7.918478,9.127567,3.563793,10.74922,15.40703
1.23765E+18,51941,0.05654917,9.373034,19.90236,15.2562,30.37678,91.62339,47.04918
1.23765E+18,51941,0.09921622,-1.233801,6.167132,10.75141,8.337881,25.14898,40.63098
1.23765E+18,51941,0.09668781,-1.082958,2.599257,2.692202,-0.6649613,-2.005677,2.936406
0,51941,0.02143447,324.6792,963.1175,516.0995,85.44269,257.7149,1759.702
1.23765E+18,51941,0.1772816,93.51228,273.0577,36.72366,48.30806,145.7083,160.2996
1.23765E+18,51957,0.02770622,9.576217,36.00599,217.2599,133.6463,403.1082,1160.852
1.23765E+18,51957,0.4836404,-1.478561,1.108518,-0.8494433,0,0,0
1.23765E+18,51957,0.1160133,3.169456,5.102392,-0.2203636,4.062806,12.25436,10.90732
1.23765E+18,51957,0.08964867,4.419861,27.09507,77.46052,86.97883,262.3482,485.0349
1.23765E+18,51957,0.09603637,24.96205,81.65163,18.77085,31.33122,94.5022,72.19176
1.23765E+18,51957,0.3126287,7.77705,24.63532,21.72517,17.95837,54.16659,99.41593
1.23765E+18,51957,0.1175859,9.103241,6.229656,4.18427,4.453832,13.43379,10.81958
1.23765E+18,51957,0.1096851,19.03272,54.1951,170.7632,123.4433,372.3336,890.5579
1.23765E+18,51957,0.1342711,1.517919,7.412663,9.012901,7.334197,22.12163,34.97558
1.23765E+18,51957,0.1412457,-4.042216,8.680388,10.20462,5.655666,17.05879,15.34366
1.23765E+18,51913,0.08019475,8.031145,29.61024,144.9356,68.57453,206.8366,617.5825
1.23765E+18,51913,0.1362935,1.430421,5.027002,10.80633,8.171037,24.64573,20.22738
1.23765E+18,51913,0.08508939,40.62101,123.7155,155.681,55.4678,167.3037,624.2538
1.23765E+18,51913,0.1350336,8.400194,13.60679,6.600664,6.392296,19.28064,28.00493
1.23765E+18,51913,0.5069078,0.03929505,1.942324,-0.1909064,0,0,0
1.23765E+18,51913,0.1329678,-0.6592406,6.143781,12.81714,8.417535,25.38923,45.85903
1.23765E+18,51913,0.07409647,3.652918,6.371963,20.02362,10.19464,30.74939,56.17194
1.23765E+18,51913,0.0316402,1.258396,5.56057,11.68263,4.077759,12.29946,31.36149
1.23765E+18,51913,0.3066975,-0.151334,4.574803,0.2637977,-0.1265428,-0.3816824,4.522521
1.23765E+18,51913,0.1078745,5.028841,13.64806,61.88913,29.99247,90.46423,271.5772
1.23765E+18,51913,0.1160028,3.387562,15.585,21.16084,18.28184,55.14223,108.848
1.23765E+18,51913,0.1166125,0.22312,7.876736,3.245609,7.622893,22.9924,20.13726
1.23765E+18,51913,0.1277053,-1.984813,5.771226,1.28263,0.2366014,0.7136443,-1.847728
1.23765E+18,51913,0.09563563,1.751228,4.768794,22.94218,8.707691,26.26441,85.66035
1.23765E+18,51910,0.1299686,2.191748,6.484561,7.675344,5.652301,17.04865,36.23967
1.23765E+18,51910,0.1161728,5.351116,2.693061,5.055711,4.740459,14.29832,23.97439
1.23765E+18,51910,0.1174838,3.344319,7.304095,-0.4487259,8.400935,25.33916,14.62864
1.23765E+18,51910,0.1042053,5.125703,2.356151,-10.09265,2.518064,7.595062,-5.757408
1.23765E+18,51910,0.1509606,15.10161,64.40156,12.80184,101.1443,305.0745,244.8927
1.23765E+18,51910,0.08986662,3.95873,15.06828,38.82908,18.5429,55.92966,140.443
1.23767E+18,51910,0.09438816,3.250627,16.34969,73.25411,61.92493,186.7799,333.6916
1.23765E+18,51910,0.1052716,5.808505,5.553568,6.677487,-1.982737,-5.980393,25.07569
1.23765E+18,51910,0.03970751,13.62935,43.72618,63.15706,17.5748,53.00964,215.5409
1.23767E+18,51910,0.09306565,-0.7253817,6.506375,5.543002,1.494618,4.508111,11.9144
1.23765E+18,51909,0.05432412,12.21235,30.03677,29.83952,6.905277,20.82791,89.56927
1.23767E+18,51909,0.07555873,6.100362,8.31713,2.113893,1.923323,5.801186,8.819354
1.23765E+18,51909,0.01846641,18.88774,70.76586,40.38296,51.49094,155.3085,140.0416
1.23767E+18,51909,0.07545189,8.702903,18.76267,8.222262,19.71308,59.45919,49.37575
1.23767E+18,51909,0.1075121,3.678581,5.676116,9.420827,5.43919,16.40585,36.55499
1.23767E+18,51909,0.1864969,13.22795,47.9014,4.989804,20.356,61.39838,54.5304
1.23767E+18,51909,0.006149792,21.67726,68.0134,96.3109,33.63435,101.449,326.8273
1.23767E+18,51909,0.0465842,44.36583,133.3424,102.2903,20.89493,63.02393,290.3388
1.23765E+18,51909,0.09485572,7.623352,18.27701,41.84757,22.70754,68.49118,155.8874
1.23765E+18,51909,0.1251915,-0.02833574,11.98845,25.48786,16.62408,50.14207,62.15878
1.23767E+18,51909,0.1665128,3.667792,14.52184,16.95764,14.04709,42.36928,54.70704
1.23765E+18,51909,0.1018725,1.388172,11.21922,7.108954,2.922201,8.814034,9.208344
1.23765E+18,51908,0.09226175,2.704173,10.54751,40.64857,17.00151,51.28049,156.0751
1.23765E+18,51908,0.08433978,4.120154,12.40389,44.2532,21.13839,63.75826,169.232
1.23767E+18,51908,0.03801814,199.2348,607.955,227.8522,27.83626,83.96059,729.4802
1.23767E+18,51908,0.0960687,2.329734,5.670944,31.08217,13.38142,40.36145,116.4254
1.23765E+18,51908,0.1847982,5.591637,4.034649,-1.913554,0.7841526,2.365185,3.445231
1.23765E+18,51908,0.2148436,43.25248,149.8662,74.33668,75.08831,226.4837,305.7915
1.23767E+18,51908,0.1846018,-2.225784,0.6902527,13.51784,0.6123136,1.846879,10.79741
1.23767E+18,51900,0.1002445,10.04382,2.115316,2.76428,1.0961,3.306091,12.42198
1.23767E+18,51900,0.1244772,2.046794,9.67029,3.666039,7.457257,22.49281,22.39607
1.23765E+18,51900,0.09088492,-1.03123,4.788244,12.29515,4.72431,14.24961,43.37417
1.23765E+18,51900,0.03824842,2.575393,16.77483,11.31252,7.865019,23.72271,29.78306
1.23765E+18,51900,0.1137192,7.369561,36.01434,62.05344,44.59909,134.5212,344.7073
1.23767E+18,51900,0.08261675,9.853518,22.51221,54.7523,41.24424,124.4022,329.6282
